"";"Country";"HDI";"Life.exp";"Exp.school.";"Mean.school";"GNI";"HDI.FM";"Life.expFM";"Exp.SchoolFM";"Mean.SchoolFM";"Est.GNIFM";"Edu2.FM";"Labour.FM";"fert";"mean04";"mean.length";"child.mort"
"123";"Sao Tome and Principe";0,555003908988382;66,5;11,29208;4,658307;2918,228611;0,890942998826011;1,06211180124224;1,01122016637904;0,727272727272727;0,474353249555526;NA;0,582262177313461;4,01;39,8592271453148;5;112
"124";"Saudi Arabia";0,837273977255894;74,3;16,27418;8,695222916;52821,35798;0,901056915954488;1,03698630136986;1,03164805755234;0,839020844778973;0,260808464847272;0,860341472339813;0,257982120054348;2,59;0,0150176968491822;21;34
"125";"Senegal";0,465889126880936;66,5;7,94567;2,476672553;2188,114331;0,882504731245215;1,05891472868217;0,963083455919134;0,556386385548518;0,605026779583383;0,465303473866268;0,75;4,88;11,7104371961042;21;114
"126";"Serbia";0,771149777471976;74,9;14,38712;10,46026516;12190,43399;0,965842417041876;1,07766990291262;1,06886212058953;0,874846188465212;0,65520606661345;0,794304819741958;0,730706057535976;1,36;7,61126741257253;8;136
"127";"Seychelles";0,772459367466339;73,1;13,37438;9,4112;23300,30542;NA;1,13352685050798;0,99459267557396;NA;NA;1,00461934942786;NA;2,16;5,93436226982683;21;23
"128";"Sierra Leone";0,41277942655418;50,9;8,5733775;3,06;1780,360219;0,814200588093466;1,01984126984127;0,723752785208641;0,541353383458647;0,798471659212723;0,457681692732291;0,952173868115942;4,63;21,3464456327972;21;21
"129";"Singapore";0,911797820008574;83;15,4;10,63;76628,2002;0,985317838031034;1,07634543178974;1,01307189542484;0,925892040256176;0,640284318971532;0,914724962530755;0,761658051310103;1,29;0,0946796134201651;12;55
"130";"Slovenia";0,880280840350184;80,4;16,80578;11,89249992;27852,1462;0,995618978322637;1,07891332470893;1,10113913202929;0,97956561965428;0,660243190385188;0,977043529532979;0,827531622436309;1,52;0,284797119706728;10;55
"131";"Solomon Islands";0,505637417174453;67,9;9,23701;5,044133924;1539,972952;NA;1,04360902255639;0,9075737634751;NA;0,51835375442824;NA;0,675949386075949;3,97;17,4176304670818;21;77
"132";"South Africa";0,665879394316415;57,4;13,55794;9,943231583;12122,31676;0,947824339432321;1,07427536231884;1,01685238229477;0,955744050571493;0,553671511460456;0,957860270173334;0,735537190082645;2,36;0,334033850973869;12;106
"133";"Spain";0,876124307433439;82,6;17,34512;9,58190918;32044,86286;0,97542923723436;1,06892230576441;1,04425962932141;0,953273445775279;0,598157145225158;0,913010240677739;0,797872302835803;1,52;NA;0;98
"134";"Sri Lanka";0,756658910948357;74,9;13,71335;10,8;9778,605247;0,948262010211663;1,09370629370629;1,06606263956829;0,985475271189557;0,381067965448591;0,952218876816337;0,460026173970103;2,33;5,38858875235504;21;165
"135";"Sudan";0,479113119607052;63,5;6,99558;3,137;3808,887883;0,830268475243276;1,04838709677419;0,921098981417113;0,673230441724321;0,328959810092556;0,663377192982456;0,411842094736842;4,35;4,55450873198841;21;152
"136";"Suriname";0,714286152213;71,1;12,6909;7,651408672;15617,28475;0,974746022601184;1,09411764705882;1,14661936144505;0,910303093809761;0,488334887029553;0,946423965299851;0,588662764173626;2,24;6,2482422392622;20;61
"137";"Swaziland";0,530633150455283;49;11,33191;7,122;5542,26692;0,879322998770619;0,971774193548387;0,920858954479211;1,09718330629701;0,538281024237305;0,84070796460177;0,613128525414704;3,27;2,62717500167005;15;149
"138";"Sweden";0,906816460156634;82,2;15,81512;12,09518337;45635,50431;0,99940725812306;1,04353233830846;1,10115386938122;1,02367981173489;0,787364439090009;0,991728728893104;0,888070660793726;1,93;NA;0;78
"139";"Switzerland";0,929613139886712;83;15,79043;12,82348463;56431,06833;0,950472788124221;1,0519801980198;0,988835815067997;0,877862595419847;0,638877816820438;0,983788598175074;0,825100106306406;1,54;NA;0;96
"140";"Tajikistan";0,624455504947767;69,4;11,24404;10,35582;2517,402532;0,926006374056148;1,10574018126888;0,877159458167757;0,85474526849329;0,66770676824029;1,0422149122807;0,763942965576063;3,79;9,6436102715249;13;108
"141";"Thailand";0,725836139231478;74,4;13,47211;7,322291851;13322,89654;1,00016084108254;1,09563994374121;1,06177246956748;0,946817820259663;0,793925147335445;0,874716653525783;0,796778259851457;1,39;0,606013323369311;21;19
"142";"Timor-Leste";0,594761079063589;68,2;11,67155;4,424304;5362,516358;0,868280621524006;1,05413533834586;0,937386648242508;0,673313497745294;0,414686756146914;NA;0,484251984003968;5,73;61,5274709834598;5;126
"143";"Togo";0,483537548807549;59,7;12,23491;4,461511;1228,154409;0,831419932285284;1,02546689303905;0,813432835820896;0,47263830981749;0,787686379784332;0,400099280218417;0,991389857646881;4,58;10,4025887221647;21;159
"144";"Tonga";0,717040728787238;72,8;14,7;10,71;5069,128017;0,967100772787389;1,08440629470672;1,04010007997687;0,986149584487535;0,599054321406478;0,991311001622835;0,717158191363771;3,72;16,6638007528955;21;43
"145";"Trinidad and Tobago";0,771893819240646;70,4;12,34507333;10,88346335;26089,9511;0,984998026953304;1,1044776119403;1,03281316270809;0,982548970477692;0,602308460040112;0,980939861978311;0,701986754966887;1,8;0,21724180550898;21;57
"146";"Tunisia";0,721191132101355;74,8;14,62357;6,837558;10404,49747;0,89364619922419;1,06620689655172;1,06735642448234;0,758201822634358;0,293811586873492;0,711696476079924;0,354019744273207;1,99;1,78141641274854;21;29
"147";"Turkey";0,76112029344145;75,3;14,54396;7,560710907;18677,13032;0,902139872130703;1,09027777777778;0,931749770190065;0,783396894867887;0,362585980648238;0,649573051202529;0,415254213456383;2,02;0,258933408282541;21;26
"148";"Turkmenistan";0,687520517135472;65,6;10,80354;9,87817;13066,17115;NA;1,13658536585366;0,955382318942645;NA;0,497110861495603;NA;0,609882972499032;2,3;1,07092215283242;12;124
"149";"Uganda";0,48267209055669;58,5;9,76888;5,42;1612,57569;0,885969466161726;1,06349206349206;0,977264953113077;0,711356466876972;0,613895139266225;0,682810507052147;0,957070783673225;5,77;12,701322587205;21;139
"150";"Ukraine";0,747005221412579;71;15,14135;11,34;8178,067935;1,0026524054073;1,15;1,03166890664778;0,990350877192982;0,644089675271135;0,956521739130435;0,795216735533257;1,48;NA;0;167
"151";"United Arab Emirates";0,835469039773073;77;13,33;9,4916875;60868,33005;0,954147734097555;1,02883355176933;1,07751937984496;1,1641266119578;0,289666055680984;1,19382756368387;0,505434782608696;1,78;NA;0;145
"152";"United Kingdom";0,906698191736312;80,7;16,18306;13,0544459;39267,19081;0,964871051357857;1,04955527318933;1,05447054546054;0,983383868227632;0,527994981384565;0,999220087174854;0,810771518389981;1,89;NA;0;99
"153";"United States";0,914959353959777;79,1;16,48;12,94252883;52946,51344;0,995047554051431;1,0612777053455;1,09868290494723;1,0063407945659;0,681690603915772;1,00348593276203;0,817126240556033;1,97;NA;0;135
"154";"Uruguay";0,792762976854943;77,2;15,50195;8,451206207;19283,48112;1,01758993880962;1,09659863945578;1,15295190176932;1,06287498379605;0,609154002777342;1,08163027824413;0,723958284579809;2,04;0,294570430383572;21;4
"155";"Uzbekistan";0,675466117266967;68,4;11,51169;10,85709007;5567,011781;0,945064588417863;1,10461538461538;0,959937155654714;0,95959595959596;0,51903454873073;NA;0,636243379025993;2,28;1,01670605186234;13;104
"156";"Vanuatu";0,593871205245596;71,9;10,60407;6,793013333;2802,654751;0,902685143967405;1,05865522174535;0,935449480235805;0,8;0,621405410583511;NA;0,76875;3,35;20,15365242647;21;73
"157";"Yemen";0,498110250182353;63,8;9,15499;2,6;3519,487289;0,739244567442728;1,0432;0,730420219360269;0,343832020997375;0,2947328633085;0,320959880014998;0,351800563581465;3,95;4,62203127561999;15;113
"158";"Zambia";0,585509863261832;60,1;13,5;6,6;3734,033348;0,916600806359356;1,06529209621993;0,935251798561151;0,802197802197802;0,678205768922902;0,587445985899477;0,85397196005792;5,64;22,6546721330515;21;148
"159";"Zimbabwe";0,508747385575832;57,5;10,85084;7,25;1615,454099;0,921946535484097;1,04804270462633;0,974373110050981;0,865459249676585;0,749485236750456;0,785553047404063;0,927536229379736;3,41;4,77840320823907;21;160
